"","Swingle's Sample","Bajada Site","Flieger","Adobe Hill","3-Up","Babocomari Village","Awat'ovi","Chalo:wa","Hawikku","Kechiba:wa","Togetzoge","Haby Ranch","Eagle Pass","Spear Ranch","Fischer site","Whitmer","Ormand Village","Villareal II","Dutch Ruin","Kyaki:ma","Kwa'kin'a","Brooklyn Basin","Binna:wa","Pueblo La Plata","Pueblo Grande","Los Guanacos","University Indian Ruins","Pueblo Blanco","Sunset Mesa","Pueblo Salado","Casa Grande","Casa Buena","Curtis Ruin(Buena Vista)","AZ CC:1:3","Fort Grant Pueblo","Crescent Site","Rattlesnake Mesa","Stone Axe Ruin","Mats'a:kya Ruin","Webb Ruin","Krider Kiva Site","Rabid Ruin","Yuma Wash--Tucson","Rillito Fan"
"Swingle's Sample","1","0.983","0.943","0.983","0.844","0.225","0","0.05","0.239","0.1","0.985","0.987","0.974","0.263","0.436","0.845","0.941","0.576","0.596","0.029","0","0.488","0.031","0.591","0.983","0.983","0.863","0.983","0.983","0.983","0.993","0.983","0.502","0.542","0.803","0.963","0.87","0.532","0.012","0.975","0.764","0.988","0.969","0.993"
"Bajada Site","0.983","1","0.927","1","0.837","0.208","0","0.05","0.239","0.1","0.99","0.973","0.969","0.246","0.42","0.828","0.936","0.571","0.596","0.029","0","0.488","0.031","0.591","1","1","0.846","1","1","0.994","0.976","1","0.497","0.525","0.795","0.958","0.853","0.532","0.012","0.973","0.753","0.995","0.957","0.981"
"Flieger","0.943","0.927","1","0.927","0.867","0.249","0","0.05","0.239","0.1","0.929","0.954","0.955","0.293","0.493","0.902","0.955","0.599","0.596","0.029","0","0.488","0.031","0.591","0.927","0.927","0.886","0.927","0.927","0.927","0.948","0.927","0.525","0.599","0.826","0.955","0.912","0.532","0.012","0.929","0.798","0.932","0.967","0.945"
"Adobe Hill","0.983","1","0.927","1","0.837","0.208","0","0.05","0.239","0.1","0.99","0.973","0.969","0.246","0.42","0.828","0.936","0.571","0.596","0.029","0","0.488","0.031","0.591","1","1","0.846","1","1","0.994","0.976","1","0.497","0.525","0.795","0.958","0.853","0.532","0.012","0.973","0.753","0.995","0.957","0.981"
"3-Up","0.844","0.837","0.867","0.837","1","0.252","0","0.069","0.258","0.118","0.838","0.857","0.868","0.367","0.54","0.904","0.901","0.618","0.615","0.047","0.019","0.488","0.05","0.595","0.837","0.837","0.958","0.837","0.837","0.837","0.845","0.837","0.635","0.665","0.919","0.877","0.955","0.55","0.031","0.839","0.754","0.842","0.841","0.838"
"Babocomari Village","0.225","0.208","0.249","0.208","0.252","1","0","0.05","0.208","0.1","0.211","0.236","0.239","0.263","0.263","0.263","0.251","0.237","0.218","0.029","0","0.208","0.031","0.208","0.208","0.208","0.262","0.208","0.208","0.208","0.228","0.208","0.251","0.263","0.253","0.248","0.263","0.208","0.012","0.225","0.221","0.213","0.221","0.221"
"Awat'ovi","0","0","0","0","0","0","1","0.005","0.034","0.016","0","0","0","0","0","0","0","0","0","0.005","0.002","0.512","0.002","0.389","0","0","0","0","0","0","0.002","0","0","0","0","0","0","0.293","0.007","0","0","0","0","0"
"Chalo:wa","0.05","0.05","0.05","0.05","0.069","0.05","0.005","1","0.782","0.848","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.937","0.869","0.055","0.93","0.06","0.05","0.05","0.05","0.05","0.05","0.051","0.053","0.05","0.075","0.082","0.054","0.05","0.05","0.23","0.69","0.05","0.05","0.05","0.05","0.05"
"Hawikku","0.239","0.239","0.239","0.239","0.258","0.208","0.034","0.782","1","0.843","0.239","0.239","0.239","0.239","0.239","0.239","0.239","0.239","0.239","0.761","0.702","0.273","0.76","0.277","0.239","0.239","0.239","0.239","0.239","0.24","0.241","0.239","0.264","0.271","0.243","0.239","0.239","0.448","0.642","0.239","0.239","0.239","0.239","0.239"
"Kechiba:wa","0.1","0.1","0.1","0.1","0.118","0.1","0.016","0.848","0.843","1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.785","0.717","0.116","0.777","0.12","0.1","0.1","0.1","0.1","0.1","0.1","0.102","0.1","0.125","0.132","0.103","0.1","0.1","0.291","0.784","0.1","0.1","0.1","0.1","0.1"
"Togetzoge","0.985","0.99","0.929","0.99","0.838","0.211","0","0.05","0.239","0.1","1","0.975","0.969","0.248","0.422","0.83","0.936","0.571","0.597","0.029","0","0.488","0.036","0.598","0.99","0.99","0.848","0.99","0.99","0.99","0.978","0.99","0.497","0.527","0.796","0.961","0.855","0.532","0.012","0.974","0.755","0.99","0.959","0.983"
"Haby Ranch","0.987","0.973","0.954","0.973","0.857","0.236","0","0.05","0.239","0.1","0.975","1","0.987","0.273","0.447","0.856","0.955","0.589","0.596","0.029","0","0.488","0.031","0.591","0.973","0.973","0.874","0.973","0.973","0.973","0.988","0.973","0.515","0.553","0.816","0.976","0.881","0.532","0.012","0.975","0.762","0.978","0.966","0.981"
"Eagle Pass","0.974","0.969","0.955","0.969","0.868","0.239","0","0.05","0.239","0.1","0.969","0.987","1","0.277","0.451","0.859","0.967","0.599","0.596","0.029","0","0.488","0.031","0.591","0.969","0.969","0.878","0.969","0.969","0.969","0.976","0.969","0.528","0.556","0.826","0.989","0.885","0.532","0.012","0.971","0.753","0.974","0.957","0.969"
"Spear Ranch","0.263","0.246","0.293","0.246","0.367","0.263","0","0.05","0.239","0.1","0.248","0.273","0.277","1","0.723","0.339","0.309","0.275","0.246","0.029","0","0.246","0.031","0.246","0.246","0.246","0.4","0.246","0.246","0.246","0.267","0.246","0.725","0.52","0.448","0.285","0.381","0.246","0.012","0.248","0.264","0.251","0.264","0.264"
"Fischer site","0.436","0.42","0.493","0.42","0.54","0.263","0","0.05","0.239","0.1","0.422","0.447","0.451","0.723","1","0.591","0.483","0.448","0.42","0.029","0","0.42","0.031","0.42","0.42","0.42","0.573","0.42","0.42","0.42","0.441","0.42","0.878","0.797","0.622","0.459","0.566","0.42","0.012","0.422","0.541","0.425","0.46","0.438"
"Whitmer","0.845","0.828","0.902","0.828","0.904","0.263","0","0.05","0.239","0.1","0.83","0.856","0.859","0.339","0.591","1","0.891","0.599","0.596","0.029","0","0.488","0.031","0.591","0.828","0.828","0.914","0.828","0.828","0.828","0.85","0.828","0.571","0.697","0.872","0.868","0.932","0.532","0.012","0.831","0.85","0.833","0.868","0.847"
"Ormand Village","0.941","0.936","0.955","0.936","0.901","0.251","0","0.05","0.239","0.1","0.936","0.955","0.967","0.309","0.483","0.891","1","0.6","0.597","0.029","0","0.488","0.031","0.591","0.936","0.936","0.909","0.936","0.936","0.936","0.943","0.936","0.56","0.588","0.858","0.975","0.917","0.532","0.012","0.939","0.753","0.941","0.937","0.936"
"Villareal II","0.576","0.571","0.599","0.571","0.618","0.237","0","0.05","0.239","0.1","0.571","0.589","0.599","0.275","0.448","0.599","0.6","1","0.715","0.029","0","0.488","0.031","0.571","0.571","0.571","0.599","0.571","0.571","0.571","0.578","0.571","0.525","0.554","0.599","0.599","0.599","0.532","0.012","0.573","0.571","0.576","0.573","0.571"
"Dutch Ruin","0.596","0.596","0.596","0.596","0.615","0.218","0","0.05","0.239","0.1","0.597","0.596","0.596","0.246","0.42","0.596","0.597","0.715","1","0.029","0","0.488","0.031","0.591","0.596","0.596","0.596","0.596","0.596","0.596","0.596","0.596","0.497","0.525","0.596","0.596","0.596","0.532","0.012","0.616","0.596","0.596","0.599","0.596"
"Kyaki:ma","0.029","0.029","0.029","0.029","0.047","0.029","0.005","0.937","0.761","0.785","0.029","0.029","0.029","0.029","0.029","0.029","0.029","0.029","0.029","1","0.932","0.034","0.99","0.039","0.029","0.029","0.029","0.029","0.029","0.029","0.031","0.029","0.054","0.061","0.032","0.029","0.029","0.209","0.649","0.029","0.029","0.029","0.029","0.029"
"Kwa'kin'a","0","0","0","0","0.019","0","0.002","0.869","0.702","0.717","0","0","0","0","0","0","0","0","0","0.932","1","0.002","0.934","0.006","0","0","0","0","0","0","0.002","0","0.025","0.032","0.003","0","0","0.177","0.597","0","0","0","0","0"
"Brooklyn Basin","0.488","0.488","0.488","0.488","0.488","0.208","0.512","0.055","0.273","0.116","0.488","0.488","0.488","0.246","0.42","0.488","0.488","0.488","0.488","0.034","0.002","1","0.033","0.877","0.488","0.488","0.488","0.488","0.488","0.488","0.49","0.488","0.488","0.488","0.488","0.488","0.488","0.781","0.02","0.488","0.488","0.488","0.488","0.488"
"Binna:wa","0.031","0.031","0.031","0.031","0.05","0.031","0.002","0.93","0.76","0.777","0.036","0.031","0.031","0.031","0.031","0.031","0.031","0.031","0.031","0.99","0.934","0.033","1","0.043","0.031","0.031","0.031","0.031","0.031","0.031","0.033","0.031","0.056","0.063","0.034","0.034","0.031","0.208","0.639","0.031","0.031","0.031","0.031","0.031"
"Pueblo La Plata","0.591","0.591","0.591","0.591","0.595","0.208","0.389","0.06","0.277","0.12","0.598","0.591","0.591","0.246","0.42","0.591","0.591","0.571","0.591","0.039","0.006","0.877","0.043","1","0.591","0.591","0.591","0.591","0.591","0.591","0.593","0.591","0.501","0.53","0.594","0.594","0.591","0.829","0.024","0.591","0.591","0.591","0.591","0.591"
"Pueblo Grande","0.983","1","0.927","1","0.837","0.208","0","0.05","0.239","0.1","0.99","0.973","0.969","0.246","0.42","0.828","0.936","0.571","0.596","0.029","0","0.488","0.031","0.591","1","1","0.846","1","1","0.994","0.976","1","0.497","0.525","0.795","0.958","0.853","0.532","0.012","0.973","0.753","0.995","0.957","0.981"
"Los Guanacos","0.983","1","0.927","1","0.837","0.208","0","0.05","0.239","0.1","0.99","0.973","0.969","0.246","0.42","0.828","0.936","0.571","0.596","0.029","0","0.488","0.031","0.591","1","1","0.846","1","1","0.994","0.976","1","0.497","0.525","0.795","0.958","0.853","0.532","0.012","0.973","0.753","0.995","0.957","0.981"
"University Indian Ruins","0.863","0.846","0.886","0.846","0.958","0.262","0","0.05","0.239","0.1","0.848","0.874","0.878","0.4","0.573","0.914","0.909","0.599","0.596","0.029","0","0.488","0.031","0.591","0.846","0.846","1","0.846","0.846","0.846","0.865","0.846","0.639","0.679","0.94","0.886","0.974","0.532","0.012","0.849","0.764","0.852","0.858","0.858"
"Pueblo Blanco","0.983","1","0.927","1","0.837","0.208","0","0.05","0.239","0.1","0.99","0.973","0.969","0.246","0.42","0.828","0.936","0.571","0.596","0.029","0","0.488","0.031","0.591","1","1","0.846","1","1","0.994","0.976","1","0.497","0.525","0.795","0.958","0.853","0.532","0.012","0.973","0.753","0.995","0.957","0.981"
"Sunset Mesa","0.983","1","0.927","1","0.837","0.208","0","0.05","0.239","0.1","0.99","0.973","0.969","0.246","0.42","0.828","0.936","0.571","0.596","0.029","0","0.488","0.031","0.591","1","1","0.846","1","1","0.994","0.976","1","0.497","0.525","0.795","0.958","0.853","0.532","0.012","0.973","0.753","0.995","0.957","0.981"
"Pueblo Salado","0.983","0.994","0.927","0.994","0.837","0.208","0","0.051","0.24","0.1","0.99","0.973","0.969","0.246","0.42","0.828","0.936","0.571","0.596","0.029","0","0.488","0.031","0.591","0.994","0.994","0.846","0.994","0.994","1","0.977","0.994","0.497","0.525","0.795","0.958","0.853","0.532","0.013","0.973","0.753","0.994","0.957","0.981"
"Casa Grande","0.993","0.976","0.948","0.976","0.845","0.228","0.002","0.053","0.241","0.102","0.978","0.988","0.976","0.267","0.441","0.85","0.943","0.578","0.596","0.031","0.002","0.49","0.033","0.593","0.976","0.976","0.865","0.976","0.976","0.977","1","0.976","0.504","0.547","0.804","0.965","0.875","0.534","0.015","0.976","0.767","0.981","0.972","0.99"
"Casa Buena","0.983","1","0.927","1","0.837","0.208","0","0.05","0.239","0.1","0.99","0.973","0.969","0.246","0.42","0.828","0.936","0.571","0.596","0.029","0","0.488","0.031","0.591","1","1","0.846","1","1","0.994","0.976","1","0.497","0.525","0.795","0.958","0.853","0.532","0.012","0.973","0.753","0.995","0.957","0.981"
"Curtis Ruin(Buena Vista)","0.502","0.497","0.525","0.497","0.635","0.251","0","0.075","0.264","0.125","0.497","0.515","0.528","0.725","0.878","0.571","0.56","0.525","0.497","0.054","0.025","0.488","0.056","0.501","0.497","0.497","0.639","0.497","0.497","0.497","0.504","0.497","1","0.777","0.699","0.536","0.613","0.521","0.037","0.499","0.497","0.502","0.497","0.497"
"AZ CC:1:3","0.542","0.525","0.599","0.525","0.665","0.263","0","0.082","0.271","0.132","0.527","0.553","0.556","0.52","0.797","0.697","0.588","0.554","0.525","0.061","0.032","0.488","0.063","0.53","0.525","0.525","0.679","0.525","0.525","0.525","0.547","0.525","0.777","1","0.731","0.565","0.672","0.557","0.044","0.527","0.712","0.53","0.565","0.544"
"Fort Grant Pueblo","0.803","0.795","0.826","0.795","0.919","0.253","0","0.054","0.243","0.103","0.796","0.816","0.826","0.448","0.622","0.872","0.858","0.599","0.596","0.032","0.003","0.488","0.034","0.594","0.795","0.795","0.94","0.795","0.795","0.795","0.804","0.795","0.699","0.731","1","0.834","0.914","0.535","0.016","0.797","0.756","0.8","0.797","0.797"
"Crescent Site","0.963","0.958","0.955","0.958","0.877","0.248","0","0.05","0.239","0.1","0.961","0.976","0.989","0.285","0.459","0.868","0.975","0.599","0.596","0.029","0","0.488","0.034","0.594","0.958","0.958","0.886","0.958","0.958","0.958","0.965","0.958","0.536","0.565","0.834","1","0.893","0.532","0.012","0.96","0.753","0.963","0.957","0.958"
"Rattlesnake Mesa","0.87","0.853","0.912","0.853","0.955","0.263","0","0.05","0.239","0.1","0.855","0.881","0.885","0.381","0.566","0.932","0.917","0.599","0.596","0.029","0","0.488","0.031","0.591","0.853","0.853","0.974","0.853","0.853","0.853","0.875","0.853","0.613","0.672","0.914","0.893","1","0.532","0.012","0.856","0.783","0.859","0.883","0.872"
"Stone Axe Ruin","0.532","0.532","0.532","0.532","0.55","0.208","0.293","0.23","0.448","0.291","0.532","0.532","0.532","0.246","0.42","0.532","0.532","0.532","0.532","0.209","0.177","0.781","0.208","0.829","0.532","0.532","0.532","0.532","0.532","0.532","0.534","0.532","0.521","0.557","0.535","0.532","0.532","1","0.195","0.532","0.532","0.532","0.532","0.532"
"Mats'a:kya Ruin","0.012","0.012","0.012","0.012","0.031","0.012","0.007","0.69","0.642","0.784","0.012","0.012","0.012","0.012","0.012","0.012","0.012","0.012","0.012","0.649","0.597","0.02","0.639","0.024","0.012","0.012","0.012","0.012","0.012","0.013","0.015","0.012","0.037","0.044","0.016","0.012","0.012","0.195","1","0.012","0.012","0.012","0.012","0.012"
"Webb Ruin","0.975","0.973","0.929","0.973","0.839","0.225","0","0.05","0.239","0.1","0.974","0.975","0.971","0.248","0.422","0.831","0.939","0.573","0.616","0.029","0","0.488","0.031","0.591","0.973","0.973","0.849","0.973","0.973","0.973","0.976","0.973","0.499","0.527","0.797","0.96","0.856","0.532","0.012","1","0.753","0.975","0.957","0.973"
"Krider Kiva Site","0.764","0.753","0.798","0.753","0.754","0.221","0","0.05","0.239","0.1","0.755","0.762","0.753","0.264","0.541","0.85","0.753","0.571","0.596","0.029","0","0.488","0.031","0.591","0.753","0.753","0.764","0.753","0.753","0.753","0.767","0.753","0.497","0.712","0.756","0.753","0.783","0.532","0.012","0.753","1","0.753","0.793","0.771"
"Rabid Ruin","0.988","0.995","0.932","0.995","0.842","0.213","0","0.05","0.239","0.1","0.99","0.978","0.974","0.251","0.425","0.833","0.941","0.576","0.596","0.029","0","0.488","0.031","0.591","0.995","0.995","0.852","0.995","0.995","0.994","0.981","0.995","0.502","0.53","0.8","0.963","0.859","0.532","0.012","0.975","0.753","1","0.957","0.981"
"Yuma Wash--Tucson","0.969","0.957","0.967","0.957","0.841","0.221","0","0.05","0.239","0.1","0.959","0.966","0.957","0.264","0.46","0.868","0.937","0.573","0.599","0.029","0","0.488","0.031","0.591","0.957","0.957","0.858","0.957","0.957","0.957","0.972","0.957","0.497","0.565","0.797","0.957","0.883","0.532","0.012","0.957","0.793","0.957","1","0.976"
"Rillito Fan","0.993","0.981","0.945","0.981","0.838","0.221","0","0.05","0.239","0.1","0.983","0.981","0.969","0.264","0.438","0.847","0.936","0.571","0.596","0.029","0","0.488","0.031","0.591","0.981","0.981","0.858","0.981","0.981","0.981","0.99","0.981","0.497","0.544","0.797","0.958","0.872","0.532","0.012","0.973","0.771","0.981","0.976","1"
